,cik,companyname,entityid,primaryexchange,primarysymbol,siccode,sicdescription
508,0000109177,"HRG GROUP, INC.",369,NYSE,HRG,3690,"Miscellaneous Electrical Machinery, Equipment,"
509,0000766704,WELLTOWER INC.,278,NYSE,HCN,6798,Real Estate Investment Trusts
510,0000075362,PACCAR INC,4173,Nasdaq Global Market,PCAR,3711,Motor Vehicles and Passenger Car Bodies
511,0000801898,JOY GLOBAL INC,2819,NYSE,JOY,3532,"Mining Machinery and Equipment, Except Oil and Gas Field Machine"
512,0000040211,GATX CORP,8426,NYSE,GMT,4700,Transportation services
513,0001552275,SUNOCO LP,884445,NYSE,SUN,5172,"Petroleum and Petroleum Products Wholesalers, Except Bulk Statio"
514,0001095133,ISA INTERNATIONALE INC,67537,OTC,ISAT,5961,Catalog and Mail-Order Houses
515,0001575515,"SPROUTS FARMERS MARKET, INC.",906187,Nasdaq Global Market,SFM,5411,Grocery Stores
516,0000920371,SIMPSON MANUFACTURING CO INC /CA/,5525,NYSE,SSD,3420,"Cutlery, Handtools, And General Hardware"
517,0000887730,KEMET CORP,1825,NYSE,KEM,3670,Electronic Components And Accessories
518,0000068505,"MOTOROLA SOLUTIONS, INC.",2749,NYSE,MSI,3663,Radio and Television Broadcasting and Communications Equipment
519,0000814453,NEWELL BRANDS INC,7492,NYSE,NWL,3089,"Plastics Products, Not Elsewhere Classified"
520,0000062709,"MARSH & MCLENNAN COMPANIES, INC.",10226,NYSE,MMC,6411,"Insurance Agents, Brokers, and Service"
521,0000867773,SUNPOWER CORP,114337,Nasdaq Global Market,SPWR,3674,Semiconductors and Related Devices
522,0000886835,SUPERIOR ENERGY SERVICES INC,6472,NYSE,SPN,1389,"Oil and Gas Field Services, Not Elsewhere Classified"
523,0000886982,GOLDMAN SACHS GROUP INC,11158,NYSE,GS,6211,"Security Brokers, Dealers, and Flotation Companies"
524,0001087423,RED HAT INC,5746,NYSE,RHT,7370,"Computer Programming, Data Processing, And"
525,0001170534,MITEL NETWORKS CORP,106107,Nasdaq Global Market,MITL,3663,Radio and Television Broadcasting and Communications Equipment
526,0000790715,SIGMA DESIGNS INC,7694,Nasdaq Global Market,SIGM,3674,Semiconductors and Related Devices
527,0000779152,HENRY JACK & ASSOCIATES INC,7405,Nasdaq Global Market,JKHY,7373,Computer Integrated Systems Design
528,0000793952,HARLEY DAVIDSON INC,8053,NYSE,HOG,3751,"Motorcycles, Bicycles, and Parts"
529,0001222840,"RETAIL PROPERTIES OF AMERICA, INC.",400362,NYSE,RPAI,6798,Real Estate Investment Trusts
530,0001364479,HERTZ GLOBAL HOLDINGS INC,710494,NYSE,HTZ,7510,"Automotive Rental And Leasing, Without Drivers"
531,0000020286,CINCINNATI FINANCIAL CORP,11645,Nasdaq Global Market,CINF,6331,"Fire, Marine, and Casualty Insurance"
532,0000078814,PITNEY BOWES INC /DE/,2496,NYSE,PBI,3579,"Office Machines, Not Elsewhere Classified"
533,0001002047,"NETAPP, INC.",4195,Nasdaq Global Market,NTAP,3572,Computer Storage Devices
534,0000096223,LEUCADIA NATIONAL CORP,9694,NYSE,LUK,2011,Meat Packing Plants
535,0000882184,HORTON D R INC /DE/,9618,NYSE,DHI,1531,Operative Builders
536,0000006769,APACHE CORP,3940,NYSE,APA,1311,Crude Petroleum and Natural Gas
537,0000851968,MOHAWK INDUSTRIES INC,3451,NYSE,MHK,2273,Carpets and Rugs
538,0001377013,TIME WARNER CABLE INC.,723790,NYSE,TWC,4841,Cable and Other Pay Television Services
539,0000012659,H&R BLOCK INC,7387,NYSE,HRB,7200,Services-Personal Services
540,0000716006,YRC WORLDWIDE INC.,7536,Nasdaq Global Market,YRCW,4213,"Trucking, Except Local"
541,0000875045,BIOGEN INC.,9708,Nasdaq Global Market,BIIB,2836,"Biological Products, Except Diagnostic Substances"
542,0001075415,SENIOR HOUSING PROPERTIES TRUST,57507,NYSE,SNH,6798,Real Estate Investment Trusts
543,0000914025,PLANTRONICS INC /CA/,5597,NYSE,PLT,3661,Telephone and Telegraph Apparatus
544,0001069202,LENNOX INTERNATIONAL INC,5177,NYSE,LII,3585,Air-Conditioning and Warm Air Heating Equipment and Commercial a
545,0000036270,M&T BANK CORP,16919,NYSE,MTB,6022,State Commercial Banks
546,0001585689,HILTON WORLDWIDE HOLDINGS INC.,915398,NYSE,HLT,7011,Hotels and Motels
547,0001336920,"LEIDOS HOLDINGS, INC.",684378,NYSE,LDOS,7373,Computer Integrated Systems Design
548,0000084839,ROLLINS INC,10868,NYSE,ROL,7340,Services To Dwellings And Other Buildings
549,0000895126,CHESAPEAKE ENERGY CORP,1021,NYSE,CHK,1311,Crude Petroleum and Natural Gas
550,0000799288,"LANDS' END, INC.",9739,Nasdaq Capital Market,LE,5651,Family Clothing Stores
551,0000216085,HAVERTY FURNITURE COMPANIES INC,593,NYSE,HVT,5712,Furniture Stores
552,0000072971,WELLS FARGO & COMPANY/MN,8130,NYSE,WFC,6021,National Commercial Banks
553,0001514991,AMC NETWORKS INC.,850427,Nasdaq Global Market,AMCX,4841,Cable and Other Pay Television Services
554,0001039684,ONEOK INC /NEW/,4799,NYSE,OKE,4923,Natural Gas Transmission and Distribution
555,0000089800,SHERWIN WILLIAMS CO,2378,NYSE,SHW,5200,"Retail-Building Materials, Hardware, Garden Supply"
556,0001415336,ZELTIQ AESTHETICS INC,759517,Nasdaq Global Market,ZLTQ,3845,Electromedical and Electrotherapeutic Apparatus
557,0001019361,ROFIN SINAR TECHNOLOGIES INC,5438,Nasdaq Global Market,RSTI,3690,"Miscellaneous Electrical Machinery, Equipment,"
558,0001454389,STONEGATE MORTGAGE CORP,796164,NYSE,SGM,6162,Mortgage Bankers and Loan Correspondents
559,0000082166,RAVEN INDUSTRIES INC,4678,Nasdaq Global Market,RAVN,3081,Unsupported Plastics Film and Sheet
560,0000100726,UNIFI INC,10620,NYSE,UFI,2200,Textile mill products
561,0000067088,MITSUBISHI UFJ FINANCIAL GROUP INC,96426,NYSE,MTU,6029,"Commercial Banks, Not Elsewhere Classified"
562,0001511737,"UBIQUITI NETWORKS, INC.",857833,Nasdaq Global Market,UBNT,3663,Radio and Television Broadcasting and Communications Equipment
563,0001015780,E TRADE FINANCIAL CORP,2508,Nasdaq Global Market,ETFC,6035,"Savings Institutions, Federally Chartered"
564,0001339048,"WESTERN REFINING, INC.",686460,NYSE,WNR,2911,Petroleum Refining
565,0000921825,FIRST INDUSTRIAL REALTY TRUST INC,2009,NYSE,FR,6798,Real Estate Investment Trusts
566,0000927066,DAVITA HEALTHCARE PARTNERS INC.,9056,NYSE,DVA,8090,"Miscellaneous Health And Allied Services, Not"
567,0000833444,TYCO INTERNATIONAL PLC,9936,NYSE,TYC,7380,Miscellaneous Business Services
568,0001276591,HANSEN MEDICAL INC,615515,Nasdaq Global Market,HNSN,3842,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies"
569,0000830916,MULTI FINELINE ELECTRONIX INC,475813,Nasdaq Global Market,MFLX,3672,Printed Circuit Boards
570,0001107843,"QUALYS, INC.",375214,Nasdaq Global Market,QLYS,7372,Prepackaged Software
571,0000045012,HALLIBURTON CO,7147,NYSE,HAL,1389,"Oil and Gas Field Services, Not Elsewhere Classified"
572,0001487712,AIR LEASE CORP,829288,NYSE,AL,7359,"Equipment Rental and Leasing, Not Elsewhere Classified"
573,0001077688,HOOKER FURNITURE CORP,58390,Nasdaq Global Market,HOFT,2510,Household Furniture
574,0000909791,ULTRATECH INC,4465,Nasdaq Global Market,UTEK,3559,"Special Industry Machinery, Not Elsewhere Classified"
575,0000823768,WASTE MANAGEMENT INC,8960,NYSE,WM,4953,Refuse Systems
576,0000764811,COMMUNITYONE BANCORP,7117,Nasdaq Capital Market,COB,6021,National Commercial Banks
577,0001252849,"COLUMBIA PROPERTY TRUST, INC.",417902,NYSE,CXP,6798,Real Estate Investment Trusts
578,0000895655,JARDEN CORP,4744,NYSE,JAH,5190,Miscellaneous Non-durable Goods
579,0000357020,XCERRA CORP,7169,Nasdaq Global Market,XCRA,3825,Instruments for Measuring and Testing of Electricity and Electri
580,0000836690,INNOVATIVE SOLUTIONS & SUPPORT INC,75940,Nasdaq Global Market,ISSC,7371,Computer Programming Services
581,0000708819,MCDERMOTT INTERNATIONAL INC,19,NYSE,MDR,3443,Fabricated Plate Work (Boiler Shops)
582,0001518832,"WPX ENERGY, INC.",853933,NYSE,WPX,1311,Crude Petroleum and Natural Gas
583,0001105472,SONUS NETWORKS INC,74118,Nasdaq Global Market,SONS,7373,Computer Integrated Systems Design
584,0001401708,NANOSTRING TECHNOLOGIES INC,746391,Nasdaq Global Market,NSTG,2836,"Biological Products, Except Diagnostic Substances"
585,0000080420,POWELL INDUSTRIES INC,22,Nasdaq Global Market,POWL,3613,Switchgear and Switchboard Apparatus
586,0001096385,VECTREN CORP,69014,NYSE,VVC,4932,Gas and Other Services Combined
587,0000859737,HOLOGIC INC,45,Nasdaq Global Market,HOLX,3844,X-Ray Apparatus and Tubes and Related Irradiation Apparatus
588,0001267238,ASSURANT INC,601811,NYSE,AIZ,6321,Accident and Health Insurance
589,0001115837,MOBILE TELESYSTEMS PJSC,96465,NYSE,MBT,4812,Radiotelephone Communications
590,0000063296,MATTHEWS INTERNATIONAL CORP,6873,Nasdaq Global Market,MATW,3360,Nonferrous Foundries (castings)
591,0001015922,CHECK POINT SOFTWARE TECHNOLOGIES LTD,9938,Nasdaq Global Market,CHKP,7372,Prepackaged Software
592,0001408198,MSCI INC.,752605,NYSE,MSCI,7389,"Business Services, Not Elsewhere Classified"
593,0000046080,HASBRO INC,3672,Nasdaq Global Market,HAS,3944,"Games, Toys, and Children's Vehicles, Except Dolls and Bicycles"
594,0001108524,SALESFORCE COM INC,159140,NYSE,CRM,7372,Prepackaged Software
595,0001581068,BRIXMOR PROPERTY GROUP INC.,911024,NYSE,BRX,6798,Real Estate Investment Trusts
596,0000203077,ST JUDE MEDICAL INC,11034,NYSE,STJ,3845,Electromedical and Electrotherapeutic Apparatus
597,0000053669,JOHNSON CONTROLS INC,5227,NYSE,JCI,2531,Public Building and Related Furniture
598,0001122976,POLYONE CORP,79042,NYSE,POL,2821,"Plastics Materials, Synthetic Resins, and Nonvulcanizable Elasto"
599,0001141391,MASTERCARD INC,87022,NYSE,MA,7389,"Business Services, Not Elsewhere Classified"
600,0000924717,SURMODICS INC,5062,Nasdaq Global Market,SRDX,3841,Surgical and Medical Instruments and Apparatus
601,0001378453,TRAVELCENTERS OF AMERICA LLC,728465,NYSE,TA,5500,Retail-Auto Dealers & Gasoline Stations
602,0001001039,WALT DISNEY CO/,9479,NYSE,DIS,4841,Cable and Other Pay Television Services
603,0000723254,CINTAS CORP,5215,Nasdaq Global Market,CTAS,2320,"Men's And Boys' Furnishings, Work Clothing, And Allied Garments"
604,0001357615,"KBR, INC.",705464,NYSE,KBR,1600,Heavy Construction Other Than Bldg Const - Contractors
605,0000860546,CORPORATE OFFICE PROPERTIES TRUST,5183,NYSE,OFC,6798,Real Estate Investment Trusts
606,0001433270,ANTERO RESOURCES CORP,776600,NYSE,AR,1311,Crude Petroleum and Natural Gas
607,0000076321,PARKER DRILLING CO /DE/,11354,NYSE,PKD,1381,Drilling Oil and Gas Wells
608,0001056239,L 3 COMMUNICATIONS HOLDINGS INC,7751,NYSE,LLL,3663,Radio and Television Broadcasting and Communications Equipment
609,0000871763,MANPOWERGROUP INC.,8301,NYSE,MAN,7363,Help Supply Services
610,0001301611,"LIFEPOINT HEALTH, INC.",653144,Nasdaq Global Market,LPNT,8062,General Medical and Surgical Hospitals
611,0000897723,SANMINA CORP,4104,Nasdaq Global Market,SANM,3672,Printed Circuit Boards
612,0001124198,FLUOR CORP,79580,NYSE,FLR,1600,Heavy Construction Other Than Bldg Const - Contractors
613,0000827187,SELECT COMFORT CORP,413,Nasdaq Global Market,SCSS,2510,Household Furniture
614,0000109198,TJX COMPANIES INC /DE/,9226,NYSE,TJX,5651,Family Clothing Stores
615,0000932696,INSIGHT ENTERPRISES INC,4154,Nasdaq Global Market,NSIT,5961,Catalog and Mail-Order Houses
616,0001109345,NOVA MEASURING INSTRUMENTS LTD,83253,Nasdaq Global Market,NVMI,3827,Optical Instruments and Lenses
617,0001232524,JAZZ PHARMACEUTICALS PLC,406407,Nasdaq Global Market,JAZZ,2834,Pharmaceutical Preparations
618,0000788329,JOHNSON OUTDOORS INC,5905,Nasdaq Global Market,JOUT,3949,"Sporting and Athletic Goods, Not Elsewhere Classified"
619,0001108109,COMMUNITY HEALTH SYSTEMS INC,73848,NYSE,CYH,8062,General Medical and Surgical Hospitals
620,0000922864,APARTMENT INVESTMENT & MANAGEMENT CO,1900,NYSE,AIV,6798,Real Estate Investment Trusts
621,0001447380,MOBIVITY HOLDINGS CORP.,790154,OTC,MFON,7372,Prepackaged Software
622,0000864240,SYPRIS SOLUTIONS INC,8643,Nasdaq Global Market,SYPR,3823,"Industrial Instruments for Measurement, Display, and Control of "
623,0000882154,"POWERSECURE INTERNATIONAL, INC.",7554,NYSE,POWR,7389,"Business Services, Not Elsewhere Classified"
624,0001096343,MARKEL CORP,68045,NYSE,MKL,6331,"Fire, Marine, and Casualty Insurance"
625,0000811596,KAISER ALUMINUM CORP,2253,Nasdaq Global Market,KALU,3350,"Rolling, Drawing, And Extruding Of Nonferrous"
626,0000808713,TELESERVICES INTERNET GROUP INC,1168,OTC,OPUS,7389,"Business Services, Not Elsewhere Classified"
627,0001021561,NU SKIN ENTERPRISES INC,1378,NYSE,NUS,5122,"Drugs, Drug Proprietaries, and Druggists' Sundries"
628,0001076481,SEQUENOM INC,69523,Nasdaq Global Market,SQNM,3829,"Measuring and Controlling Devices, Not Elsewhere Classified"
629,0001364742,BLACKROCK INC.,711679,NYSE,BLK,6211,"Security Brokers, Dealers, and Flotation Companies"
630,0000745732,ROSS STORES INC,12007,Nasdaq Global Market,ROST,5651,Family Clothing Stores
631,0000916076,MARTIN MARIETTA MATERIALS INC,9744,NYSE,MLM,1400,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
632,0000940944,DARDEN RESTAURANTS INC,9838,NYSE,DRI,5812,Eating Places
633,0001378140,"OCEAN POWER TECHNOLOGIES, INC.",726032,Nasdaq Capital Market,OPTT,4911,Electric Services
634,0001449732,"WILLBROS GROUP, INC.\NEW\",791994,NYSE,WG,1389,"Oil and Gas Field Services, Not Elsewhere Classified"
635,0000944809,"OPKO HEALTH, INC.",4083,NYSE,OPK,2834,Pharmaceutical Preparations
636,0000844965,TETRA TECHNOLOGIES INC,27009,NYSE,TTI,1311,Crude Petroleum and Natural Gas
637,0000027419,TARGET CORP,400,NYSE,TGT,5331,Variety Stores
638,0000724606,PANERA BREAD CO,7006,Nasdaq Global Market,PNRA,5812,Eating Places
639,0001022705,TESCO CORP,5684,Nasdaq Global Market,TESO,3533,Oil and Gas Field Machinery and Equipment
640,0000077360,PENTAIR PLC,4842,NYSE,PNR,3550,"Special Industry Machinery, Except Metalworking"
641,0001227025,NEOPHOTONICS CORP,403164,NYSE,NPTN,3674,Semiconductors and Related Devices
642,0000821189,EOG RESOURCES INC,8842,NYSE,EOG,1311,Crude Petroleum and Natural Gas
643,0000936340,DTE ENERGY CO,3376,NYSE,DTE,4911,Electric Services
644,0000721683,TOTAL SYSTEM SERVICES INC,6075,NYSE,TSS,7389,"Business Services, Not Elsewhere Classified"
645,0001389170,TARGA RESOURCES CORP.,734289,NYSE,TRGP,4922,Natural Gas Transmission
646,0000277948,CSX CORP,4194,Nasdaq Global Market,CSX,4011,"Railroads, Line-Haul Operating"
647,0001046257,INGREDION INC,8391,NYSE,INGR,2040,Grain Mill Products
648,0001230276,"PANDORA MEDIA, INC.",405127,NYSE,P,4832,Radio Broadcasting Stations
649,0001276520,GENWORTH FINANCIAL INC,615960,NYSE,GNW,6311,Life Insurance
650,0001109357,EXELON CORP,74281,NYSE,EXC,4931,Electric and Other Services Combined
651,0001011570,KNOLL INC,177,NYSE,KNL,2590,Miscellaneous Furniture And Fixtures
652,0000893691,MASONITE INTERNATIONAL CORP,10403,NYSE,DOOR,2430,"Millwork, Veneer, Plywood, And Structural Wood"
653,0000101830,SPRINT CORP,2113,NYSE,S,4813,"Telephone Communications, Except Radiotelephone"
654,0001180145,CARDIOVASCULAR SYSTEMS INC,376746,Nasdaq Global Market,CSII,3841,Surgical and Medical Instruments and Apparatus
655,0001490165,ERICKSON INC.,828320,Nasdaq Global Market,EAC,3720,Aircraft And Parts
656,0000849869,SILGAN HOLDINGS INC,4984,Nasdaq Global Market,SLGN,3411,Metal Cans
657,0000822416,PULTEGROUP INC/MI/,9113,NYSE,PHM,1531,Operative Builders
658,0001168054,CIMAREX ENERGY CO,99453,NYSE,XEC,1311,Crude Petroleum and Natural Gas
659,0001327318,"TRUECAR, INC.",674160,Nasdaq Global Market,TRUE,7370,"Computer Programming, Data Processing, And"
660,0000049826,ILLINOIS TOOL WORKS INC,8745,NYSE,ITW,3560,General Industrial Machinery And Equipment
661,0000701288,ATRION CORP,6807,Nasdaq Global Market,ATRI,3841,Surgical and Medical Instruments and Apparatus
662,0001115222,DUN & BRADSTREET CORP/NW,77129,NYSE,DNB,7320,"Consumer Credit Reporting Agencies, Mercantile"
663,0000874766,HARTFORD FINANCIAL SERVICES GROUP INC/DE,11370,NYSE,HIG,6331,"Fire, Marine, and Casualty Insurance"
664,0001043277,C H ROBINSON WORLDWIDE INC,2335,Nasdaq Global Market,CHRW,4731,Arrangement of Transportation of Freight and Cargo
665,0001502916,SODASTREAM INTERNATIONAL LTD.,839507,Nasdaq Global Market,SODA,3630,Household Appliances
666,0000701374,SIX FLAGS ENTERTAINMENT CORP,874,NYSE,SIX,7990,Miscellaneous Amusement And Recreation
667,0000700564,FULTON FINANCIAL CORP,4867,Nasdaq Global Market,FULT,6021,National Commercial Banks
668,0001123494,HARVARD BIOSCIENCE INC,79504,Nasdaq Global Market,HBIO,3826,Laboratory Analytical Instruments
669,0001390844,WABCO HOLDINGS INC.,736282,NYSE,WBC,3711,Motor Vehicles and Passenger Car Bodies
670,0000093556,"STANLEY BLACK & DECKER, INC.",11039,NYSE,SWK,3420,"Cutlery, Handtools, And General Hardware"
671,0001413329,PHILIP MORRIS INTERNATIONAL INC.,758041,NYSE,PM,2111,Cigarettes
672,0000794170,TOLL BROTHERS INC,8999,NYSE,TOL,1531,Operative Builders
673,0001496048,"GENERAL GROWTH PROPERTIES, INC.",832976,NYSE,GGP,6798,Real Estate Investment Trusts
674,0000937098,TRINET GROUP INC,73783,NYSE,TNET,7389,"Business Services, Not Elsewhere Classified"
675,0001128928,FLOWERS FOODS INC,81319,NYSE,FLO,2000,Food and kindred products
676,0001044777,VASCO DATA SECURITY INTERNATIONAL INC,10193,Nasdaq Capital Market,VDSI,7373,Computer Integrated Systems Design
677,0000743316,MAXIM INTEGRATED PRODUCTS INC,4884,Nasdaq Global Market,MXIM,3674,Semiconductors and Related Devices
678,0001371217,ENTEROMEDICS INC,717005,Nasdaq Capital Market,ETRM,3845,Electromedical and Electrotherapeutic Apparatus
679,0000931584,UNIVERSAL STAINLESS & ALLOY PRODUCTS INC,6650,Nasdaq Global Market,USAP,3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling "
680,0000091576,KEYCORP /NEW/,1080,NYSE,KEY,6021,National Commercial Banks
681,0001504461,NGL ENERGY PARTNERS LP,840240,NYSE,NGL,5172,"Petroleum and Petroleum Products Wholesalers, Except Bulk Statio"
682,0000922224,PPL CORP,6127,NYSE,PPL,4911,Electric Services
683,0001282631,NETLIST INC,718817,Nasdaq Global Market,NLST,3674,Semiconductors and Related Devices
684,0000829224,STARBUCKS CORP,9829,Nasdaq Global Market,SBUX,5810,Eating And Drinking Places
685,0001086434,AUDIOCODES LTD,80085,Nasdaq Global Market,AUDC,3661,Telephone and Telegraph Apparatus
686,0001517650,"INTERACTIVE INTELLIGENCE GROUP, INC.",852608,Nasdaq Global Market,ININ,7372,Prepackaged Software
687,0000768835,BIG LOTS INC,10596,NYSE,BIG,5331,Variety Stores
688,0000029989,OMNICOM GROUP INC.,6865,NYSE,OMC,7311,Advertising Agencies
689,0001047122,RAYTHEON CO/,7697,NYSE,RTN,3812,"Search, Detection, Navigation, Guidance, Aeronautical, and Nauti"
690,0001577916,"PREMIER, INC.",914165,Nasdaq Global Market,PINC,8741,Management Services
691,0000878927,OLD DOMINION FREIGHT LINE INC/VA,3089,Nasdaq Global Market,ODFL,4213,"Trucking, Except Local"
692,0001532750,"ATLAS RESOURCE PARTNERS, L.P.",866039,NYSE,ARP,1381,Drilling Oil and Gas Wells
693,0001002638,OPEN TEXT CORP,9410,Nasdaq Global Market,OTEX,7373,Computer Integrated Systems Design
694,0000315449,UQM TECHNOLOGIES INC,6446,NYSE MKT,UQM,3679,"Electronic Components, Not Elsewhere Classified"
695,0000883943,CHRISTOPHER & BANKS CORP,11307,NYSE,CBK,5621,Women's Clothing Stores
696,0000783325,"WEC ENERGY GROUP, INC.",8439,NYSE,WEC,4931,Electric and Other Services Combined
697,0001402057,CDW CORP,746873,Nasdaq Global Market,CDW,5961,Catalog and Mail-Order Houses
698,0001528849,RESTORATION HARDWARE HOLDINGS INC,863468,NYSE,RH,5712,Furniture Stores
699,0001020859,UNITED NATURAL FOODS INC,2248,Nasdaq Global Market,UNFI,5141,"Groceries, General Line"
700,0000098222,TIDEWATER INC,8561,NYSE,TDW,4400,Water transportation
701,0001034670,AUTOLIV INC,11765,NYSE,ALV,3714,Motor Vehicle Parts and Accessories
702,0001284807,PLY GEM HOLDINGS INC,629230,NYSE,PGEM,2430,"Millwork, Veneer, Plywood, And Structural Wood"
703,0000091142,SMITH A O CORP,1553,NYSE,AOS,3630,Household Appliances
704,0000050104,TESORO CORP /NEW/,2332,NYSE,TSO,2911,Petroleum Refining
705,0001397911,LPL FINANCIAL HOLDINGS INC.,742528,Nasdaq Global Market,LPLA,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
706,0001404912,KKR & CO. L.P.,749731,NYSE,KKR,6282,Investment Advice
707,0000875357,BOK FINANCIAL CORP ET AL,304,Nasdaq Global Market,BOKF,6021,National Commercial Banks
708,0001332349,BROOKDALE SENIOR LIVING INC.,682460,NYSE,BKD,8050,Nursing And Personal Care Facilities
709,0001273801,NORTHSTAR REALTY FINANCE CORP.,632055,NYSE,NRF,6798,Real Estate Investment Trusts
710,0000731802,ATMOS ENERGY CORP,1518,NYSE,ATO,4924,Natural Gas Distribution
711,0001490281,"GROUPON, INC.",826818,Nasdaq Global Market,GRPN,7311,Advertising Agencies
712,0001158895,LEMAITRE VASCULAR INC,375919,Nasdaq Global Market,LMAT,3841,Surgical and Medical Instruments and Apparatus
713,0000885590,"VALEANT PHARMACEUTICALS INTERNATIONAL, INC.",3552,NYSE,VRX,2834,Pharmaceutical Preparations
714,0000910606,REGENCY CENTERS CORP,7582,NYSE,REG,6798,Real Estate Investment Trusts
715,0000917470,OLYMPIC STEEL INC,9182,Nasdaq Global Market,ZEUS,5051,Metals Service Centers and Offices
716,0001289308,ENERSYS,635649,NYSE,ENS,5063,"Electrical Apparatus and Equipment Wiring Supplies, and Construc"
717,0001481582,RYERSON HOLDING CORP,819902,NYSE,RYI,5051,Metals Service Centers and Offices
718,0001033905,LUMINEX CORP,71785,Nasdaq Global Market,LMNX,3841,Surgical and Medical Instruments and Apparatus
719,0001342338,"HIMAX TECHNOLOGIES, INC.",702022,Nasdaq Global Market,HIMX,3674,Semiconductors and Related Devices
720,0000055242,KENNAMETAL INC,6828,NYSE,KMT,3541,"Machine Tools, Metal Cutting Types"
721,0000944695,"HANOVER INSURANCE GROUP, INC.",1131,NYSE,THG,6331,"Fire, Marine, and Casualty Insurance"
722,0001043337,STONERIDGE INC,7691,NYSE,SRI,3714,Motor Vehicle Parts and Accessories
723,0001021860,NATIONAL OILWELL VARCO INC,10065,NYSE,NOV,3533,Oil and Gas Field Machinery and Equipment
724,0001520566,NATIONSTAR MORTGAGE HOLDINGS INC.,855544,NYSE,NSM,6162,Mortgage Bankers and Loan Correspondents
725,0000887226,PERCEPTRON INC/MI,3846,Nasdaq Global Market,PRCP,3827,Optical Instruments and Lenses
726,0000796343,ADOBE SYSTEMS INC,10790,Nasdaq Global Market,ADBE,7372,Prepackaged Software
727,0000055067,KELLOGG CO,11580,NYSE,K,2040,Grain Mill Products
728,0000092230,BB&T CORP,9729,NYSE,BBT,6021,National Commercial Banks
729,0000101829,UNITED TECHNOLOGIES CORP /DE/,8836,NYSE,UTX,3724,Aircraft Engines and Engine Parts
730,0000723612,"AVIS BUDGET GROUP, INC.",5470,Nasdaq Global Market,CAR,7510,"Automotive Rental And Leasing, Without Drivers"
731,0001131399,GLAXOSMITHKLINE PLC,82287,NYSE,GSK,2834,Pharmaceutical Preparations
732,0000789570,MGM RESORTS INTERNATIONAL,7264,NYSE,MGM,7011,Hotels and Motels
733,0000910612,CBL & ASSOCIATES PROPERTIES INC,10322,NYSE,CBL,6798,Real Estate Investment Trusts
734,0001206264,"TEMPUR SEALY INTERNATIONAL, INC.",385653,NYSE,TPX,2510,Household Furniture
735,0001573097,"HD SUPPLY HOLDINGS, INC.",904230,Nasdaq Global Market,HDS,5000,Wholesale-Durable Goods
736,0001227654,COMPASS MINERALS INTERNATIONAL INC,403679,NYSE,CMP,1400,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
737,0000740260,VENTAS INC,1093,NYSE,VTR,6798,Real Estate Investment Trusts
738,0000750004,SCIENTIFIC GAMES CORP,8075,Nasdaq Global Market,SGMS,7373,Computer Integrated Systems Design
739,0001000184,SAP SE,9121,NYSE,SAP,7372,Prepackaged Software
740,0000277135,GRAINGER W W INC,6523,NYSE,GWW,5000,Wholesale-Durable Goods
741,0001432150,"GIGPEAK, INC.",787162,NYSE MKT,GIG,3674,Semiconductors and Related Devices
742,0001481792,"QUAD/GRAPHICS, INC.",820049,NYSE,QUAD,2750,Commercial Printing
743,0000033213,EQT CORP,3321,NYSE,EQT,1311,Crude Petroleum and Natural Gas
744,0001323885,"ATRICURE, INC.",671172,Nasdaq Global Market,ATRC,3841,Surgical and Medical Instruments and Apparatus
745,0000920148,LABORATORY CORP OF AMERICA HOLDINGS,4622,NYSE,LH,8071,Medical Laboratories
746,0001417892,RENESOLA LTD,766940,NYSE,SOL,3674,Semiconductors and Related Devices
747,0000315852,RANGE RESOURCES CORP,4499,NYSE,RRC,1311,Crude Petroleum and Natural Gas
748,0000216228,ITT CORP,836,NYSE,ITT,3561,Pumps and Pumping Equipment
749,0001513845,YANDEX N.V.,853774,Nasdaq Global Market,YNDX,7370,"Computer Programming, Data Processing, And"
750,0000896494,MAGAL SECURITY SYSTEMS LTD,8798,Nasdaq Global Market,MAGS,3669,"Communications Equipment, Not Elsewhere Classified"
751,0000318833,TEAM INC,185,NYSE,TISI,7600,Services-Miscellaneous Repair Services
752,0001042776,"PIEDMONT OFFICE REALTY TRUST, INC.",42411,NYSE,PDM,6512,Operators of Nonresidential Buildings
753,0000313716,HARDINGE INC,3329,Nasdaq Global Market,HDNG,3541,"Machine Tools, Metal Cutting Types"
754,0001136893,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",85173,NYSE,FIS,7389,"Business Services, Not Elsewhere Classified"
755,0000100885,UNION PACIFIC CORP,3564,NYSE,UNP,4011,"Railroads, Line-Haul Operating"
756,0001578845,ALLERGAN PLC,908938,NYSE,AGN,2834,Pharmaceutical Preparations
757,0000918541,NN INC,2535,Nasdaq Global Market,NNBR,3562,Ball and Roller Bearings
758,0000894315,DDR CORP,9812,NYSE,DDR,6798,Real Estate Investment Trusts
759,0001012100,SEALED AIR CORP/DE,2121,NYSE,SEE,2820,"Plastics Materials And Synthetic Resins, Synthetic"
